start,Beacon,data
START,,
,2,72
,3,56
,4,55
,1,78
START,,
,3,51
,4,54
,1,76
,2,67
START,,
,3,52
,4,61
,1,82
,2,70
START,,
,3,51
,4,53
,1,77
,2,65
START,,
,3,51
,4,57
,2,67
,1,84
START,,
,3,54
,2,66
,4,55
,1,83
START,,
,3,54
,1,81
,2,71
,4,56
START,,
,4,55
,3,55
,1,83
,2,70
START,,
,2,73
,4,56
,3,54
,1,81
START,,
,2,72
,4,56
,3,54
,1,79
START,,
,3,54
,1,82
,2,73
,4,56
START,,
,3,53
,1,81
,2,73
,4,57
START,,
,3,55
,1,81
,2,73
,4,57
START,,
,3,54
,1,80
,2,72
,4,57
START,,
,3,54
,1,83
,2,69
,4,56
START,,
,3,55
,1,81
,2,67
,4,55
START,,
,3,49
,1,77
,2,68
,4,53
START,,
,4,53
,3,59
,1,75
,2,66
START,,
,4,51
,3,59
,1,77
,2,66
START,,
,1,81
,2,72
,4,55
,3,49
START,,
,3,51
,1,79
,2,69
,4,57
START,,
,3,54
,1,79
,2,72
,4,59
START,,
,3,50
,1,78
,2,79
,4,54
START,,
,3,51
,1,79
,2,78
,4,55
START,,
,4,55
,3,49
,1,77
,2,75
START,,
,4,54
,3,50
,1,79
,2,74
START,,
,2,74
,4,54
,3,50
,1,80
START,,
,2,76
,4,56
,3,50
,1,82
START,,
,3,57
,1,78
,4,54
,2,69
START,,
,3,57
,1,84
,2,71
,4,58
START,,
,3,55
,1,82
,2,73
,4,60
START,,
,3,55
,2,71
,4,60
,1,84
START,,
,3,54
,2,70
,1,79
,4,60
START,,
,3,55
,2,69
,4,59
,1,81
START,,
,1,80
,4,59
,3,54
,2,69
