start,Beacon,data
START,,
,2,71
,4,52
,1,73
,3,57
START,,
,1,72
,2,69
,4,49
,3,49
START,,
,3,45
,1,77
,2,65
,4,56
START,,
,3,47
,1,73
,2,66
,4,62
START,,
,3,51
,1,75
,2,64
,4,51
START,,
,4,57
,3,49
,1,75
,2,63
START,,
,4,53
,3,50
,1,75
,2,65
START,,
,2,64
,4,55
,3,46
,1,76
START,,
,2,65
,4,54
,3,54
,1,76
START,,
,2,64
,4,54
,3,48
,1,76
START,,
,2,63
,4,55
,3,51
,1,75
START,,
,1,76
,2,63
,4,54
,3,49
START,,
,3,50
,1,73
,2,64
,4,54
START,,
,3,48
,1,77
,2,66
,4,52
START,,
,3,45
,1,76
,2,64
,4,57
START,,
,4,53
,3,48
,1,74
,2,63
START,,
,2,65
,4,49
,3,53
,1,75
START,,
,2,65
,4,53
,3,52
,1,77
START,,
,2,66
,4,47
,3,48
,1,76
START,,
,2,65
,4,54
,3,47
,1,77
START,,
,2,66
,4,51
,1,76
,3,56
START,,
,1,75
,2,64
,4,52
,3,46
START,,
,3,48
,1,76
,2,64
,4,52
START,,
,3,46
,1,76
,2,65
,4,51
START,,
,3,49
,1,75
,2,64
,4,51
START,,
,3,48
,1,78
,2,64
,4,51
START,,
,3,46
,1,78
,2,66
,4,52
START,,
,4,52
,3,46
,1,75
,2,69
START,,
,2,65
,4,51
,3,45
,1,75
START,,
,2,68
,4,55
,3,42
,1,78
START,,
,1,79
,2,68
,4,52
,3,42
START,,
,1,78
,2,75
,4,54
,3,56
START,,
,3,52
,1,78
,2,67
,4,57
START,,
,3,45
,1,81
,2,75
,4,55
START,,
,3,45
,1,79
,2,68
,4,53
START,,
,3,53
,1,78
,2,67
,4,63
START,,
,3,52
,1,76
,2,66
,4,62
START,,
,4,61
,3,54
,1,78
,2,71
START,,
,2,67
,4,55
,3,50
,1,78
START,,
,2,67
,4,62
,3,51
START,,
,1,80
,1,255
,3,55
,2,70
,4,54
START,,
,3,47
,2,64
,4,57
,1,83
START,,
,3,59
,1,79
,4,55
,2,66
START,,
,3,51
,4,61
,2,69
,1,81
START,,
,3,57
,1,85
,4,62
,2,74
START,,
,2,67
,3,49
,1,80
,4,57
START,,
,4,61
,2,71
,3,66
,1,82
START,,
,4,56
,2,66
,3,62
START,,
,1,81
,1,255
,4,56
,2,67
,3,62
START,,
,1,255
,3,56
,4,57
,2,68
START,,
,3,66
,1,77
,4,51
,2,68
START,,
,3,49
,1,76
,4,53
,2,69
START,,
,3,46
,1,78
,4,63
,2,68
START,,
,3,48
,1,80
,4,51
,2,69
START,,
,2,67
,3,51
,1,75
,4,54
START,,
,2,69
,3,49
,1,79
,4,57
START,,
,4,65
,2,69
,3,48
,1,78
