start,Beacon,data
START,,
,4,73
,1,50
,3,69
,2,37
START,,
,4,78
,1,49
,3,73
,2,37
START,,
,4,82
,1,48
,3,73
,2,37
START,,
,4,78
,1,49
,3,73
,2,38
START,,
,2,37
,4,77
,1,50
,3,76
START,,
,2,38
,4,79
,1,49
,3,73
START,,
,2,38
,4,79
,1,50
START,,
,3,75
,3,255
,2,39
,4,78
,1,51
START,,
,3,64
,2,44
,1,51
,4,81
START,,
,1,54
,3,69
,2,37
,4,76
START,,
,1,51
,3,74
,2,41
,4,74
START,,
,1,52
,3,70
,2,39
,4,76
START,,
,4,72
,1,60
,3,75
,2,39
START,,
,4,73
,1,55
,3,72
,2,39
START,,
,4,73
,1,54
,3,67
,2,39
START,,
,2,39
,4,72
,1,55
,3,68
START,,
,3,67
,2,39
,4,72
,1,56
START,,
,3,66
,2,39
,4,73
,1,56
START,,
,3,67
,2,39
,4,72
,1,57
START,,
,3,67
,2,39
,4,73
,1,55
START,,
,1,58
,3,69
,2,39
,4,70
START,,
,4,72
,1,57
,3,67
,2,39
START,,
,4,75
,1,68
,3,62
,2,36
START,,
,2,36
,4,72
,1,60
,3,64
START,,
,2,37
,4,74
,1,55
,3,71
START,,
,3,72
,2,38
,4,71
,1,63
START,,
,3,67
,2,37
,4,74
,1,57
START,,
,3,69
,2,37
,4,71
,1,71
START,,
,3,67
,2,36
,4,73
,1,50
START,,
,3,70
,2,36
,4,72
,1,51
START,,
,1,54
,3,66
,2,37
,4,74
START,,
,1,59
,3,66
,2,38
,4,75
START,,
,4,75
,1,55
,3,69
,2,37
START,,
,4,75
,1,58
,2,37
,3,69
START,,
,3,66
,2,37
,4,75
,1,53
START,,
,3,67
,2,37
,4,74
,1,50
START,,
,3,71
,2,37
,4,72
,1,56
START,,
,3,68
,2,37
,4,75
,1,50
START,,
,3,66
,2,37
,4,73
,1,51
START,,
,3,63
,2,37
,4,75
,1,53
START,,
,1,48
,3,72
,4,73
,2,37
START,,
,1,50
,2,37
,3,66
,4,72
START,,
,1,48
,2,37
,3,75
START,,
,4,81
,4,255
,1,49
,2,37
,3,75
START,,
,3,73
,4,76
,1,48
,2,37
START,,
,2,37
,3,78
,4,75
,1,48
START,,
,2,37
,3,73
,4,75
,1,53
START,,
,2,38
,3,77
,1,54
,4,82
START,,
,2,37
,3,75
,4,74
,1,51
START,,
,2,36
,3,78
,4,75
,1,51
START,,
,1,50
,2,38
,3,75
,4,76
START,,
,4,74
,1,57
,2,39
,3,72
START,,
,4,73
,1,53
,2,39
,3,73
