start,Beacon,data
START,,
,3,76
,2,67
,1,61
,4,65
START,,
,3,82
,1,58
,2,65
,4,65
START,,
,3,84
,4,61
,2,72
,1,68
START,,
,2,66
,3,81
,4,61
,1,66
START,,
,1,64
,2,70
,3,76
,4,67
START,,
,1,61
,2,67
,3,73
,4,65
START,,
,4,62
,1,60
,2,67
,3,75
START,,
,4,60
,1,59
,2,70
,3,78
START,,
,4,59
,1,61
,2,67
,3,76
START,,
,4,61
,1,62
,2,65
,3,73
START,,
,3,70
,4,62
,1,59
,2,72
START,,
,3,75
,4,60
,1,57
,2,71
START,,
,3,73
,4,60
,1,67
,2,70
START,,
,3,72
,4,60
,1,63
,2,72
START,,
,2,69
,3,72
,4,61
,1,58
START,,
,2,66
,3,75
,4,60
,1,58
START,,
,1,56
,2,71
,3,72
,4,62
START,,
,4,59
,1,60
,2,67
,3,76
START,,
,4,59
,1,65
,2,69
,3,68
START,,
,3,72
,4,62
,1,57
,2,63
START,,
,3,73
,4,63
,1,60
,2,66
START,,
,3,81
,4,62
,1,63
,2,65
START,,
,3,74
,4,72
,1,62
,2,67
START,,
,3,67
,4,69
,1,57
,2,66
START,,
,3,69
,4,65
,1,58
,2,66
START,,
,2,67
,3,67
,4,66
,1,60
START,,
,1,56
,2,68
,3,76
,4,64
START,,
,1,63
,2,63
,3,78
,4,68
START,,
,4,70
,1,59
,2,66
,3,72
START,,
,3,80
,4,70
,1,59
,2,66
START,,
,3,82
,4,65
,1,61
,2,69
START,,
,3,79
,4,64
,1,60
,2,67
START,,
,3,77
,4,63
,1,61
,2,66
START,,
,3,84
,4,61
,1,60
,2,66
START,,
,2,68
,3,77
,4,60
,1,63
START,,
,1,57
,2,63
,3,79
,4,67
START,,
,1,63
,2,72
,3,79
,4,62
START,,
,4,65
,1,64
,2,71
,3,72
START,,
,4,62
,1,61
,2,70
,3,76
START,,
,3,75
,4,62
,1,61
,2,65
START,,
,3,74
,4,60
,1,57
,2,68
START,,
,3,76
,4,62
,1,58
,2,67
START,,
,3,74
,4,61
,1,55
,2,67
START,,
,3,76
,4,62
,1,55
,2,65
START,,
,2,66
,3,75
,4,62
,1,54
START,,
,1,53
,2,67
,3,76
,4,63
START,,
,1,56
,2,73
,3,77
,4,67
START,,
,4,66
,1,61
,2,66
,3,75
START,,
,3,78
,4,72
,1,65
,2,64
START,,
,3,81
,4,72
,1,60
,2,64
START,,
,3,84
,4,72
,1,59
,2,67
START,,
,3,83
,4,73
,1,60
,2,64
START,,
,3,81
,1,67
,2,65
START,,
,4,75
,2,66
,3,84
,1,69
,4,77
START,,
,2,68
,3,78
,1,66
,4,76
START,,
,1,67
,2,70
,3,79
,4,72
START,,
,1,63
,2,67
,3,77
,4,67
START,,
,4,68
,1,66
,2,67
,3,77
START,,
,4,68
,1,64
,2,67
,3,78
START,,
,3,78
,4,67
,1,67
,2,70
START,,
,3,78
,4,67
,1,66
,2,68
START,,
,3,75
,4,68
,1,67
,2,66
START,,
,3,84
,1,61
,2,66
,4,63
START,,
,1,64
,2,69
,4,65
,3,79
START,,
,1,63
,2,65
,4,68
,3,77
START,,
,3,78
,4,67
,1,62
,2,64
START,,
,3,75
,4,68
,1,63
,2,67
START,,
,3,76
,4,67
,1,64
,2,69
START,,
,3,80
,4,68
,1,59
,2,65
START,,
,3,80
,2,63
,1,58
,4,69
START,,
,2,64
,1,59
,4,69
,3,81
START,,
,2,66
,1,62
,4,69
,3,82
START,,
,4,68
,2,66
,1,63
,3,82
START,,
,3,77
,4,68
,2,66
,1,67
START,,
,3,77
,4,66
,2,65
,1,62
START,,
,3,76
,4,68
,2,66
,1,60
START,,
,3,75
,4,67
,2,66
,1,60
START,,
,3,84
,4,65
,2,67
,1,61
START,,
,1,58
,3,80
,4,69
,2,63
START,,
,4,68
,1,59
,2,65
,3,77
START,,
,3,77
,4,66
,1,60
,2,66
START,,
,3,78
,4,66
,1,63
,2,66
START,,
,3,80
,4,67
,1,60
,2,65
START,,
,3,79
,4,68
,1,60
,2,65
START,,
,3,81
,4,67
,1,60
,2,66
START,,
,2,66
,3,81
,4,67
,1,60
START,,
,2,65
,3,76
,4,66
,1,59
START,,
,1,60
,2,68
,3,78
,4,69
START,,
,4,68
,1,63
,2,68
,3,76
START,,
,3,77
,4,67
,1,64
,2,69
START,,
,3,77
,4,66
,1,63
,2,69
START,,
,3,79
,4,65
,1,62
,2,66
START,,
,3,75
,4,64
,1,67
,2,69
START,,
,3,76
,4,64
,1,67
,2,69
START,,
,2,68
,3,77
,4,65
,1,62
START,,
,2,65
,3,74
,4,65
,1,60
START,,
,1,64
,2,68
,3,80
,4,65
START,,
,4,66
,1,67
,2,68
,3,76
