start,Beacon,data
START,,
,3,51
,1,76
,4,39
,2,82
START,,
,1,77
,2,83
,3,53
,4,41
START,,
,1,72
,2,80
,3,51
,4,40
START,,
,1,73
,2,83
,3,52
,4,43
START,,
,4,40
,1,73
,3,51
,2,80
START,,
,4,45
,1,74
,3,48
,2,82
START,,
,3,52
,4,42
,1,78
,2,78
START,,
,3,51
,4,40
,1,75
,2,85
START,,
,2,81
,3,52
,4,42
,1,75
START,,
,1,75
,2,78
,3,49
,4,41
START,,
,1,72
,2,80
,3,48
,4,41
START,,
,1,77
,2,77
,3,49
,4,41
START,,
,1,82
,2,74
,3,50
,4,41
START,,
,4,42
,1,77
,2,80
,3,47
START,,
,3,44
,4,40
,1,78
,2,77
START,,
,2,78
,3,45
,4,44
,1,76
START,,
,2,77
,3,46
,4,41
,1,77
START,,
,2,81
,3,48
,4,39
,1,77
START,,
,1,75
,2,80
,3,49
,4,40
START,,
,1,78
,2,79
,3,50
,4,42
START,,
,1,75
,3,46
,4,41
,2,76
START,,
,1,75
,2,79
,3,47
,4,44
START,,
,1,74
,2,78
,3,49
,4,43
START,,
,4,40
,1,80
,2,78
,3,48
START,,
,3,49
,4,39
,1,81
,2,78
START,,
,3,49
,4,45
,1,77
,2,80
START,,
,2,80
,3,48
,4,47
,1,80
START,,
,2,77
,3,50
,4,41
,1,77
START,,
,2,75
,3,48
,4,39
,1,77
START,,
,2,76
,3,48
,4,40
,1,76
START,,
,1,76
,2,75
,3,46
,4,40
START,,
,4,40
,1,80
,2,75
,3,47
START,,
,4,40
,1,79
,2,78
,3,48
START,,
,4,40
,1,79
,2,79
,3,48
START,,
,3,49
,4,40
,1,79
,2,79
START,,
,3,46
,4,40
,1,79
,2,77
START,,
,2,77
,3,46
,4,40
,1,78
START,,
,2,76
,3,48
,4,40
,1,75
START,,
,2,81
,3,47
,4,41
,1,78
START,,
,2,77
,3,48
,4,39
,1,78
START,,
,1,80
,2,77
,3,48
,4,39
START,,
,1,80
,2,78
,3,48
,4,39
START,,
,4,39
,1,81
,2,78
,3,47
START,,
,3,48
,4,39
,1,80
,2,78
START,,
,3,48
,4,39
,1,80
,2,80
START,,
,3,49
,4,39
,1,81
,2,81
START,,
,2,80
,3,48
,4,40
,1,77
START,,
,2,81
,3,51
,4,41
,1,78
START,,
,1,79
,2,78
,3,52
,4,39
START,,
,1,77
,2,82
,3,51
,4,41
START,,
,4,39
,1,79
,2,79
,3,47
START,,
,4,42
,1,82
,2,80
,3,46
START,,
,3,48
,4,42
,2,74
START,,
,1,84
,1,255
,3,48
,4,46
,2,76
START,,
,3,49
,4,43
,1,76
,2,78
START,,
,2,81
,3,48
,4,41
,1,80
START,,
,2,77
,3,49
,4,40
,1,83
START,,
,2,77
,3,47
,4,39
,1,84
START,,
,2,77
,3,48
,4,41
,1,83
START,,
,2,77
,3,47
,4,39
,1,83
START,,
,4,43
,1,77
,3,46
START,,
,2,75
,3,45
,4,39
,2,255
,1,80
START,,
,3,49
,4,39
,1,78
,2,76
START,,
,3,48
,4,39
,1,78
,2,76
START,,
,2,77
,3,44
,4,39
,1,80
START,,
,2,75
,3,48
,4,41
,1,82
START,,
,2,75
,3,49
,4,40
,1,81
START,,
,2,76
,3,48
,4,39
,1,80
START,,
,2,78
,3,51
,4,41
,1,78
START,,
,4,39
,1,82
,2,76
,3,48
START,,
,3,48
,4,41
,1,81
,2,76
START,,
,3,49
,4,40
,1,81
,2,77
START,,
,3,49
,4,42
,1,79
,2,76
START,,
,3,51
,4,42
,1,80
,2,80
START,,
,3,49
,4,40
,1,80
,2,76
START,,
,2,79
,3,49
,4,41
,1,82
START,,
,2,77
,3,51
,4,40
,1,82
START,,
,1,81
,2,81
,3,48
,4,39
START,,
,1,78
,2,85
,3,47
,4,42
START,,
,3,48
,4,44
,2,79
,1,82
START,,
,3,46
,4,40
,2,80
,1,84
START,,
,3,47
,4,39
,1,75
,2,78
START,,
,3,50
,4,40
,1,78
,2,76
START,,
,3,53
,4,39
,1,80
,2,81
START,,
,2,83
,3,47
,4,41
,1,80
START,,
,2,77
,3,45
,4,42
,1,79
START,,
,2,79
,3,49
,4,44
START,,
,1,77
,3,51
,4,42
,2,82
,1,255
