start,Beacon,data
START,,
,1,80
,4,50
,3,48
,2,81
START,,
,3,47
,2,81
,1,78
,4,48
START,,
,3,49
,1,81
,4,46
,2,81
START,,
,3,49
,2,76
,4,49
,1,84
START,,
,3,44
,2,81
,1,80
,4,56
START,,
,4,46
,3,47
,2,82
,1,78
START,,
,1,80
,4,45
,3,45
,2,82
START,,
,1,82
,4,49
,3,44
,2,81
START,,
,2,83
,4,47
,3,43
,1,83
START,,
,4,50
,3,42
,1,82
START,,
,3,42
,1,80
,4,50
,2,83
,2,81
START,,
,3,45
,2,80
,1,79
,4,47
START,,
,3,45
,1,81
,4,45
START,,
,2,83
,3,46
,1,75
,4,48
,2,255
START,,
,3,47
,1,79
,4,48
START,,
,2,81
,4,47
,3,46
,1,83
,2,83
START,,
,1,78
,4,49
,3,45
START,,
,1,81
,4,50
,3,45
,2,84
START,,
,2,255
,1,79
,4,56
,3,44
,2,82
START,,
,1,81
,4,46
,3,45
START,,
,3,45
,1,81
,4,53
,2,85
START,,
,3,43
,1,80
,4,51
START,,
,3,43
,1,80
,4,53
,2,86
,2,84
START,,
,3,45
,1,81
,4,54
START,,
,3,44
,1,76
,4,49
START,,
,3,45
,1,78
,4,54
START,,
,4,51
,3,48
,1,79
START,,
,1,83
,4,53
,3,47
START,,
,4,56
,3,45
,1,84
START,,
,4,51
,3,45
START,,
,1,81
,1,255
,4,55
,3,46
START,,
,3,48
,1,83
,4,57
START,,
,3,47
,4,49
,1,83
START,,
,3,47
,4,50
,1,82
START,,
,3,45
,1,79
,4,57
START,,
,3,46
,1,76
,4,50
START,,
,3,47
,1,79
,4,48
START,,
,4,51
,3,46
,1,77
START,,
,1,79
,4,54
,3,45
START,,
,1,75
,4,50
,2,82
,3,45
START,,
,2,81
,3,45
,1,78
,4,52
START,,
,2,82
,3,46
,4,53
,1,76
START,,
,2,80
,3,46
,1,77
,4,55
START,,
,2,80
,1,76
,3,47
,4,53
START,,
,2,82
,1,75
,3,48
,4,54
START,,
,2,84
,3,46
,4,59
,1,74
START,,
,4,49
,2,82
,3,46
,1,80
START,,
,3,45
,4,50
,2,81
,1,79
START,,
,3,48
,4,52
,2,82
,1,82
START,,
,1,75
,3,44
,4,50
,2,83
START,,
,1,81
,3,47
,4,50
,2,82
START,,
,1,78
,3,46
,4,53
,2,82
START,,
,2,82
,1,76
,4,48
,3,46
START,,
,2,82
,1,75
,3,48
,4,52
START,,
,2,77
,1,79
,3,45
,4,58
START,,
,4,54
,2,81
,3,45
,1,79
START,,
,3,49
,4,52
,2,79
,1,81
START,,
,3,47
,4,54
,2,79
,1,80
START,,
,1,82
,3,46
,4,55
,2,82
START,,
,1,78
,3,47
,4,52
,2,82
START,,
,1,81
,3,47
,4,52
,2,83
START,,
,1,82
,3,45
,4,58
,2,80
START,,
,2,82
,1,83
,3,45
,4,48
