start,Beacon,data
START,,
,1,61
,4,70
,3,72
,2,50
START,,
,3,63
,1,64
,4,71
,2,48
START,,
,3,63
,1,63
,4,71
,2,51
START,,
,2,51
,3,64
,1,64
,4,71
START,,
,2,51
,3,65
,1,60
,4,72
START,,
,2,52
,3,66
,1,60
,4,71
START,,
,2,51
,3,64
,1,61
,4,73
START,,
,2,48
,3,64
,1,59
,4,73
START,,
,2,49
,3,65
,1,63
,4,72
START,,
,4,75
,2,51
,3,69
,1,64
START,,
,1,69
,4,73
,2,50
,3,62
START,,
,3,63
,1,66
,4,71
,2,51
START,,
,3,64
,1,66
,4,69
,2,50
START,,
,3,59
,1,67
,4,67
,2,49
START,,
,3,65
,1,63
,4,73
,2,49
START,,
,2,49
,3,63
,1,67
,4,69
START,,
,2,49
,3,62
,1,65
,4,66
START,,
,2,49
,3,62
,1,67
,4,72
START,,
,4,67
,2,51
,3,63
,1,69
START,,
,4,68
,2,49
,3,64
,1,66
START,,
,1,67
,4,67
,2,51
,3,63
START,,
,3,64
,1,73
,4,67
,2,49
START,,
,3,69
,1,63
,4,74
,2,50
START,,
,3,63
,1,69
,4,69
,2,51
START,,
,3,61
,1,71
,4,68
,2,54
START,,
,2,50
,3,61
,1,65
,4,69
START,,
,2,49
,3,63
,1,65
,4,69
START,,
,2,49
,3,63
,1,73
,4,69
START,,
,2,49
,3,61
,1,70
,4,68
START,,
,2,49
,3,61
,1,84
,4,71
START,,
,4,67
,2,50
,3,58
,1,70
START,,
,3,59
,1,65
,4,72
,2,51
START,,
,3,59
,1,65
,4,70
,2,50
START,,
,3,59
,1,81
,4,69
,2,50
START,,
,3,60
,1,63
,4,69
,2,51
START,,
,3,60
,1,69
,4,72
,2,48
START,,
,2,51
,3,59
,1,71
,4,70
START,,
,2,51
,3,60
,1,73
,4,70
START,,
,4,70
,2,51
,3,62
,1,65
START,,
,1,80
,4,69
,2,54
,3,59
START,,
,3,61
,1,81
,4,70
,2,51
START,,
,3,62
,1,72
,4,72
,2,53
START,,
,3,61
,1,74
,4,70
,2,53
START,,
,3,58
,1,78
,4,68
,2,53
START,,
,3,63
,1,80
,4,72
,2,51
START,,
,2,52
,3,59
,1,65
,4,71
START,,
,4,70
,2,54
,3,58
,1,71
START,,
,1,75
,4,71
,2,53
,3,59
START,,
,1,71
,4,72
,2,54
,3,59
START,,
,3,59
,1,71
,4,70
,2,51
START,,
,3,59
,1,66
,4,69
,2,49
START,,
,3,58
,1,63
,4,70
,2,55
START,,
,3,59
,1,63
,4,71
,2,51
START,,
,3,58
,1,63
,4,72
,2,51
START,,
,2,52
,3,57
,1,64
,4,73
START,,
,2,51
,3,57
,1,66
,4,70
START,,
,2,57
,3,58
,1,67
,4,74
START,,
,1,65
,4,70
,2,57
,3,58
START,,
,3,58
,1,65
,4,72
,2,52
START,,
,3,58
,1,65
,2,52
,4,73
START,,
,3,58
,1,66
,4,73
,2,52
START,,
,3,58
,1,65
,4,73
,2,55
START,,
,3,59
,1,63
,4,74
,2,54
START,,
,2,53
,3,60
,1,69
,4,72
START,,
,4,80
,2,55
,3,61
,1,64
START,,
,4,75
,2,54
,3,59
,1,65
START,,
,1,67
,4,72
,2,59
,3,59
START,,
,3,62
,1,72
,4,74
,2,55
START,,
,3,61
,1,73
,4,74
,2,51
START,,
,3,59
,1,67
,4,74
,2,53
START,,
,3,58
,1,68
,4,73
,2,57
START,,
,3,59
,1,69
,4,72
,2,53
START,,
,2,52
,3,59
,1,72
,4,71
START,,
,4,71
,2,54
,3,60
,1,66
START,,
,4,69
,2,51
,3,61
,1,67
START,,
,4,71
,2,51
,3,59
,1,65
START,,
,1,69
,4,71
,2,52
,3,61
START,,
,3,61
,1,69
,4,74
,2,54
START,,
,3,58
,1,68
