start,Beacon,data
START,,
,1,36
,2,49
,3,78
,4,74
START,,
,2,52
,1,36
,3,78
,4,70
START,,
,2,51
,1,36
,3,76
,4,69
START,,
,4,69
,2,51
,1,36
,3,75
START,,
,4,69
,2,52
,1,36
,3,74
START,,
,4,69
,2,51
,1,36
,3,75
START,,
,3,79
,4,69
,2,50
,1,36
START,,
,3,76
,4,68
,2,51
,1,36
START,,
,3,78
,4,69
,2,50
,1,36
START,,
,3,80
,4,69
,2,57
,1,35
START,,
,2,51
,1,36
,3,73
,4,73
START,,
,2,52
,1,37
,3,73
,4,77
START,,
,2,50
,1,37
,3,75
,4,81
START,,
,2,48
,1,37
,3,74
,4,79
START,,
,2,49
,1,37
,3,74
,4,79
START,,
,4,79
,2,49
,1,37
,3,74
START,,
,3,75
,4,78
,2,49
,1,36
START,,
,3,75
,4,76
,2,50
,1,36
START,,
,3,73
,4,76
,2,49
,1,36
START,,
,1,36
,3,74
,4,77
,2,50
START,,
,1,36
,3,74
,4,79
,2,49
START,,
,2,49
,1,36
,3,73
,4,79
START,,
,2,49
,1,36
,3,72
,4,79
START,,
,4,78
,2,49
,1,36
,3,72
START,,
,4,79
,2,50
,1,36
,3,73
START,,
,4,77
,2,50
,1,36
,3,73
START,,
,3,73
,4,78
,2,50
,1,36
START,,
,3,73
,4,78
,2,50
,1,36
START,,
,3,73
,4,77
,2,50
,1,36
START,,
,3,74
,4,78
,2,51
,1,36
START,,
,1,36
,3,74
,4,77
,2,50
START,,
,1,36
,3,73
,4,75
,2,49
START,,
,2,49
,1,36
,3,74
,4,75
START,,
,2,50
,1,38
,3,76
,4,75
START,,
,4,74
,2,51
,1,37
,3,76
START,,
,3,78
,4,74
,2,53
,1,37
START,,
,3,79
,4,73
,2,50
,1,37
START,,
,3,78
,4,73
,2,51
,1,36
START,,
,3,80
,4,74
,2,51
,1,37
START,,
,3,78
,4,74
,2,51
,1,37
START,,
,3,78
,4,74
,2,51
,1,36
START,,
,1,36
,3,77
,4,75
,2,51
START,,
,1,36
,3,78
,4,75
,2,51
START,,
,2,51
,1,36
,3,77
,4,75
START,,
,2,51
,1,36
,3,79
,4,75
START,,
,4,75
,2,51
,1,36
,3,77
START,,
,3,77
,4,75
,2,51
,1,36
START,,
,3,77
,4,76
,2,52
,1,36
START,,
,3,77
,4,75
,2,51
,1,36
START,,
,3,76
,4,74
,2,51
,1,36
START,,
,1,36
,3,78
,4,74
,2,51
START,,
,1,36
,3,76
,4,75
,2,51
START,,
,1,36
,3,77
,4,75
,2,52
START,,
,2,51
,1,36
,3,75
,4,75
START,,
,4,77
,2,51
,1,37
,3,80
START,,
,4,74
,2,51
,1,38
,3,75
START,,
,3,76
,4,78
,2,51
,1,37
START,,
,3,76
,4,77
,2,51
,1,37
START,,
,3,77
,4,77
,2,50
,1,37
START,,
,3,74
,4,77
,2,51
,1,37
START,,
,3,77
,2,51
,1,37
,4,83
START,,
,3,76
,4,83
,2,51
,1,38
START,,
,1,38
,3,75
,2,47
,4,77
START,,
,1,39
,3,78
,4,77
,2,51
START,,
,2,50
,1,39
,3,81
,4,78
START,,
,3,84
,4,82
,2,51
,1,39
START,,
,3,83
,2,51
,1,38
,4,84
START,,
,2,51
,1,38
,4,84
,3,83
START,,
,2,53
,4,76
,1,39
,3,86
START,,
,3,76
,2,52
,4,72
,1,47
START,,
,3,78
,2,59
,1,47
,4,69
START,,
,3,68
,2,58
,1,45
,4,70
START,,
,4,80
,3,83
,2,53
,1,43
START,,
,1,49
,4,79
,3,83
,2,54
