start,Beacon,data
START,,
,3,65
,2,54
,1,57
,4,71
START,,
,2,51
,3,61
,1,57
,4,75
START,,
,2,51
,3,66
,1,64
,4,79
START,,
,4,76
,2,52
,3,71
,1,62
START,,
,1,65
,4,78
,2,53
,3,68
START,,
,1,62
,4,78
,2,60
,3,62
START,,
,3,62
,1,67
,2,64
,4,80
START,,
,3,60
,1,59
,4,78
,2,53
START,,
,3,60
,1,72
,4,76
,2,52
START,,
,3,64
,1,77
,4,75
,2,50
START,,
,3,60
,1,75
,4,75
,2,52
START,,
,3,59
,1,69
,4,75
,2,49
START,,
,3,58
,1,67
,4,73
,2,51
START,,
,2,60
,3,60
,1,71
,4,78
START,,
,4,77
,2,58
,3,63
,1,63
START,,
,1,62
,4,71
,2,60
,3,62
START,,
,3,62
,1,64
,4,75
,2,52
START,,
,3,65
,1,69
,4,75
,2,52
START,,
,3,65
,1,74
,4,78
,2,53
START,,
,3,65
,1,67
,4,77
,2,55
START,,
,3,61
,1,64
,2,51
,4,84
START,,
,3,58
,1,66
,4,83
,2,52
START,,
,4,74
,2,55
,3,62
,1,68
START,,
,4,75
,2,61
,3,66
,1,73
START,,
,4,72
,2,58
,3,62
,1,67
START,,
,3,60
,1,62
,4,74
,2,57
START,,
,3,59
,1,66
,4,68
,2,51
START,,
,3,61
,1,69
,4,69
,2,63
START,,
,3,66
,1,67
,4,69
,2,61
START,,
,3,60
,1,68
,4,68
,2,53
START,,
,3,57
,1,58
,4,72
,2,54
START,,
,3,56
,4,75
,2,50
,1,63
START,,
,2,54
,3,57
,1,66
,4,72
START,,
,4,71
,2,61
,3,58
,1,63
START,,
,4,70
,2,51
,3,60
,1,62
START,,
,1,63
,4,72
,2,71
,3,58
START,,
,3,61
,1,62
,4,71
,2,57
START,,
,3,59
,1,57
,4,69
,2,59
START,,
,3,60
,1,61
,4,71
,2,66
START,,
,3,61
,1,63
,4,72
,2,48
START,,
,3,63
,1,68
,4,70
,2,51
START,,
,2,51
,3,62
,4,69
,1,70
START,,
,2,50
,3,59
,1,68
,4,70
START,,
,4,69
,2,54
,3,62
,1,60
START,,
,1,63
,4,71
,2,53
,3,59
START,,
,3,61
,1,72
,4,72
,2,58
START,,
,3,59
,1,64
,4,73
,2,59
START,,
,3,59
,1,66
,4,69
,2,57
START,,
,3,63
,1,68
,4,74
,2,57
START,,
,3,73
,1,65
,4,71
,2,60
START,,
,2,62
,3,69
,1,64
,4,73
START,,
,2,65
,3,67
,1,64
,4,73
START,,
,4,73
,2,58
,3,64
,1,60
START,,
,3,63
,1,63
,4,75
,2,52
START,,
,3,61
,1,63
,4,73
,2,51
START,,
,3,63
,1,66
,4,76
,2,51
START,,
,3,63
,1,66
,4,74
,2,52
START,,
,3,63
,1,61
,4,74
,2,55
START,,
,3,63
,1,62
,4,75
,2,65
