start,Beacon,data
START,,
,2,66
,4,73
,1,73
,3,62
START,,
,4,72
,3,70
,1,69
,2,72
START,,
,3,78
,1,68
,2,77
,4,79
START,,
,2,71
,4,74
,3,65
,1,69
START,,
,1,70
,2,69
,3,69
,4,78
START,,
,1,68
,2,69
,3,66
,4,74
START,,
,1,67
,2,71
,3,68
,4,75
START,,
,1,68
,2,69
,3,62
,4,73
START,,
,4,74
,1,69
,2,68
,3,65
START,,
,1,69
,2,73
,3,64
,4,79
START,,
,3,63
,4,75
,1,69
,2,72
START,,
,3,65
,4,75
,1,68
,2,73
START,,
,3,61
,4,73
,1,68
,2,70
START,,
,2,76
,3,63
,4,81
,1,69
START,,
,2,76
,4,73
,1,67
,3,72
START,,
,1,70
,2,74
,4,69
,3,67
START,,
,1,70
,2,79
,4,71
,3,75
START,,
,1,70
,2,77
,4,73
,3,73
START,,
,3,73
,1,69
,2,76
,4,72
START,,
,4,69
,3,63
,1,69
,2,76
START,,
,4,69
,3,69
,1,70
,2,74
START,,
,4,74
,3,71
,1,68
,2,71
START,,
,4,66
,3,66
,1,64
,2,60
START,,
,4,71
,3,73
,1,65
,2,67
START,,
,2,75
,4,74
,3,67
,1,70
START,,
,2,73
,4,79
,3,73
,1,67
START,,
,1,67
,2,62
,4,76
,3,69
START,,
,1,70
,2,71
,4,73
,3,73
START,,
,1,68
,2,76
,4,71
,3,74
START,,
,4,76
,3,68
,1,71
,2,75
START,,
,4,70
,3,63
,2,74
,1,73
START,,
,4,75
,3,61
,1,69
,2,69
START,,
,4,74
,3,63
,2,71
,1,79
START,,
,2,71
,4,77
,3,59
,1,81
START,,
,2,69
,4,83
,3,62
,1,82
START,,
,1,75
,2,63
,4,71
,3,72
START,,
,1,74
,2,69
,4,67
,3,64
START,,
,3,59
,1,82
,2,69
,4,77
START,,
,3,63
,1,72
,2,66
,4,77
START,,
,3,67
,1,70
,2,72
,4,80
START,,
,4,77
,3,61
,1,65
,2,66
START,,
,4,68
,3,60
,1,71
,2,73
START,,
,4,70
,3,68
,1,70
,2,68
START,,
,4,74
,3,62
,1,69
,2,70
START,,
,2,74
,4,74
,3,64
,1,71
START,,
,1,72
,2,72
,4,80
,3,64
START,,
,1,72
,2,72
,4,74
,3,63
START,,
,3,62
,1,71
,2,72
,4,75
START,,
,3,70
,1,74
,2,69
,4,73
START,,
,4,69
,3,63
,1,72
,2,70
START,,
,4,75
,3,62
,1,70
,2,69
START,,
,4,68
,3,60
,1,78
,2,78
START,,
,4,78
,3,61
,1,75
,2,77
START,,
,3,67
,1,73
,2,70
,4,81
START,,
,2,65
,4,77
,3,65
,1,71
START,,
,1,72
,2,66
,4,80
,3,75
START,,
,3,65
,1,78
,2,69
,4,66
START,,
,3,68
,1,69
,2,67
,4,75
START,,
,3,73
,1,70
,2,70
,4,72
START,,
,4,74
,3,76
,1,70
,2,68
START,,
,4,73
,1,73
,2,65
START,,
,3,74
,3,255
,4,75
,1,70
,2,65
START,,
,4,73
,3,75
,1,72
,2,68
START,,
,2,63
,4,68
,3,62
,1,79
START,,
,1,79
,2,66
,4,69
,3,66
