start,Beacon,data
START,,
,1,79
,2,61
,4,49
,3,45
START,,
,1,76
,4,54
,3,44
,2,69
START,,
,1,80
,4,44
,3,39
,2,70
START,,
,1,84
,4,43
,3,40
,2,78
START,,
,2,69
,1,81
,4,43
,3,41
START,,
,3,41
,2,67
,1,80
,4,43
START,,
,3,40
,2,67
,1,80
,4,45
START,,
,3,45
,2,64
,1,75
,4,45
START,,
,4,43
,3,39
,2,65
,1,75
START,,
,4,43
,3,40
,2,66
,1,76
START,,
,1,75
,4,44
,3,39
,2,65
START,,
,1,72
,4,43
,3,37
,2,67
START,,
,1,72
,4,44
,3,37
,2,75
START,,
,2,74
,1,75
,4,45
,3,37
START,,
,3,43
,2,71
,1,78
,4,45
START,,
,3,38
,2,64
,1,78
,4,45
START,,
,3,59
,2,63
,1,84
,4,49
START,,
,3,45
,2,66
,1,81
,4,52
START,,
,3,43
,2,63
,1,74
,4,49
START,,
,3,51
,2,64
,1,80
,4,48
START,,
,4,51
,3,50
,2,76
,1,76
START,,
,1,71
,4,58
,3,45
,2,63
START,,
,1,76
,3,53
,2,64
,4,56
START,,
,2,64
,1,69
,4,44
,3,39
START,,
,3,38
,2,67
,1,71
,4,40
START,,
,3,37
,2,67
,1,70
,4,39
START,,
,3,37
,2,65
,1,79
,4,42
START,,
,3,42
,2,63
,1,69
,4,42
START,,
,3,41
,2,63
,1,70
,4,42
START,,
,3,37
,2,69
,1,73
,4,38
START,,
,3,39
,2,66
,1,73
,4,43
START,,
,4,44
,3,39
,2,67
,1,73
START,,
,1,75
,4,58
,3,38
,2,64
START,,
,1,76
,4,51
,3,36
,2,63
START,,
,2,63
,3,36
,1,79
,4,50
START,,
,2,62
,3,36
,1,75
,4,58
START,,
,2,64
,3,35
,1,71
,4,48
START,,
,2,65
,3,36
,1,78
,4,46
START,,
,2,66
,3,39
,1,80
,4,37
START,,
,4,36
,2,60
,3,46
START,,
,4,36
,1,82
,2,61
,3,45
START,,
,4,37
,2,60
,3,45
,1,82
START,,
,4,37
,1,76
,2,57
,3,55
START,,
,3,45
,4,37
,1,80
,2,60
START,,
,2,64
,3,41
,4,37
,1,83
START,,
,2,60
,3,43
,4,37
,1,77
START,,
,2,60
,3,46
,4,37
,1,78
START,,
,2,62
,3,52
,4,39
,1,79
START,,
,1,78
,2,63
,3,46
,4,52
START,,
,1,76
,2,62
,3,45
,4,44
START,,
,1,80
,2,63
,3,40
,4,47
START,,
,4,46
,1,76
,2,62
,3,43
START,,
,3,39
,4,53
,1,82
,2,62
START,,
,3,39
,4,51
,2,61
,1,83
START,,
,3,40
,4,52
,2,61
,1,83
START,,
,2,63
,3,38
,4,50
,1,77
START,,
,2,63
,3,38
,4,47
,1,77
START,,
,1,78
,2,62
,3,39
,4,47
START,,
,1,77
,2,63
,3,39
,4,50
START,,
,1,80
,2,63
,3,39
,4,53
START,,
,4,54
,1,82
,2,63
,3,40
START,,
,3,44
,4,57
,1,75
,2,67
START,,
,3,39
,4,43
,1,73
,2,67
START,,
,3,39
,4,48
,1,76
,2,71
START,,
,3,42
,4,46
,1,74
,2,73
START,,
,3,41
,4,46
,1,75
,2,76
