start,Beacon,data
START,,
,2,43
,1,51
,4,83
,3,77
START,,
,4,80
,3,84
,2,43
,1,54
START,,
,3,80
,2,42
,1,57
,4,83
START,,
,3,82
,2,43
,1,57
START,,
,2,42
,1,57
,3,86
START,,
,3,83
,2,42
,1,57
START,,
,3,79
,2,41
,1,57
START,,
,1,58
,3,82
,2,42
START,,
,2,42
,1,61
,3,80
START,,
,3,78
,2,42
,1,63
START,,
,2,45
,1,58
,3,75
START,,
,3,78
,2,44
,1,60
START,,
,3,78
,2,43
,1,62
,4,82
START,,
,4,84
,3,79
,2,46
,1,57
START,,
,3,77
,2,43
,1,55
START,,
,4,82
,4,255
,3,78
,2,44
,1,60
START,,
,4,85
,2,44
,3,82
,1,69
START,,
,1,62
,2,42
,4,83
,3,80
START,,
,3,80
,1,60
,2,43
START,,
,4,84
,2,44
,3,82
,1,64
START,,
,2,43
,3,81
,1,58
START,,
,2,43
,3,81
,1,60
,4,85
START,,
,2,44
,1,60
,3,78
,4,84
START,,
,2,49
,3,81
,1,61
,4,85
START,,
,1,57
,2,48
,3,77
,4,84
START,,
,3,80
,1,58
,2,46
START,,
,3,82
,1,55
,2,45
START,,
,3,79
,1,55
,2,46
,4,85
START,,
,3,81
,1,57
,2,48
START,,
,2,44
,3,79
,1,56
,4,85
START,,
,2,51
,4,80
,3,79
,1,58
START,,
,4,82
,2,53
,3,81
,1,57
START,,
,4,80
,2,58
,1,51
,3,80
START,,
,4,81
,2,54
,1,52
,3,76
START,,
,2,57
,1,51
,4,81
START,,
,1,49
,2,68
,3,84
,4,83
,3,80
START,,
,1,49
,2,51
,4,81
,3,80
START,,
,3,79
,1,50
,4,83
,2,61
START,,
,2,49
,1,51
,4,83
,3,84
START,,
,2,54
,1,52
,3,84
,4,86
START,,
,4,81
,2,54
,1,50
START,,
,3,82
,4,82
,2,56
,3,255
,1,50
START,,
,1,51
,3,80
,4,84
,2,47
START,,
,1,53
,3,81
,2,46
,4,84
START,,
,1,57
,3,82
,4,84
,2,49
START,,
,1,53
,2,45
,4,84
,3,85
START,,
,2,43
,1,56
,3,83
,4,85
START,,
,2,44
,1,51
,3,81
,4,82
START,,
,2,46
,1,60
,3,76
START,,
,4,85
,4,255
,2,44
,3,78
,1,55
START,,
,4,81
,2,45
,1,60
,3,81
START,,
,3,84
,4,83
,2,45
,1,55
START,,
,4,78
,2,46
,1,50
,3,85
START,,
,1,59
,3,80
,4,83
,2,47
START,,
,1,53
,3,76
,4,82
,2,49
START,,
,1,49
,3,75
,4,79
,2,43
START,,
,2,51
,1,56
,3,75
,4,82
START,,
,4,77
,2,47
,1,52
,3,82
START,,
,2,45
,1,55
,3,82
,4,80
START,,
,3,72
,2,44
,1,51
START,,
,3,72
,2,45
,1,51
START,,
,3,72
,2,44
,1,52
START,,
,3,70
,2,45
,1,52
START,,
,1,52
,3,72
,2,42
START,,
,1,55
,3,73
,2,44
,4,255
START,,
,4,81
,1,56
,3,74
,2,43
START,,
,4,77
,1,53
,2,48
,3,79
START,,
,2,43
,1,55
,3,84
,4,80
START,,
,3,80
,2,44
,4,79
,1,53
START,,
,3,80
,2,44
,4,79
,1,52
START,,
,2,45
,1,52
,3,81
START,,
