start,Beacon,data
START,,
,2,57
,4,73
,1,57
,3,69
START,,
,2,61
,1,57
,3,69
,4,78
START,,
,2,59
,4,78
,1,71
,3,70
START,,
,2,59
,4,77
,1,58
,3,72
START,,
,2,59
,4,79
,1,66
,3,72
START,,
,3,71
,2,57
,4,75
,1,54
START,,
,3,75
,2,56
,4,77
,1,63
START,,
,1,61
,3,75
,2,57
,4,81
START,,
,1,58
,3,75
,2,59
,4,79
START,,
,4,78
,1,56
,3,76
,2,58
START,,
,2,59
,4,80
,1,70
,3,76
START,,
,2,58
,1,64
,3,77
START,,
,4,83
,4,255
,2,59
,1,53
,3,82
START,,
,2,57
,4,79
,1,59
,3,82
START,,
,3,81
,2,56
,4,78
,1,55
START,,
,3,79
,2,57
,4,75
,1,55
START,,
,1,54
,3,80
,2,58
,4,76
START,,
,4,75
,1,54
,2,57
,3,77
START,,
,1,54
,3,79
,2,58
START,,
,4,81
,4,255
,1,55
,3,76
,2,57
START,,
,4,76
,1,50
,3,77
,2,54
START,,
,2,60
,4,82
,1,59
,3,83
START,,
,3,74
,2,59
,4,77
,1,56
START,,
,3,71
,2,60
,4,79
,1,60
START,,
,3,73
,2,60
,4,82
,1,57
START,,
,3,71
,2,61
,4,79
,1,57
START,,
,1,63
,3,74
,2,61
,4,83
START,,
,1,58
,3,76
,2,60
,4,76
START,,
,4,70
,1,50
,3,71
,2,59
START,,
,4,74
,1,52
,3,75
,2,62
START,,
,2,61
,4,77
,1,55
,3,70
START,,
,2,59
,4,73
,1,51
,3,75
START,,
,3,76
,2,61
,4,73
,1,52
START,,
,3,74
,2,60
,4,72
,1,52
START,,
,2,58
,4,74
,1,56
,3,85
START,,
,3,75
,2,59
,1,55
,4,81
START,,
,3,75
,2,58
,4,77
,1,53
START,,
,1,58
,3,74
,2,60
,4,80
START,,
,1,63
,3,75
,2,59
,4,71
START,,
,4,71
,1,49
,3,75
,2,57
START,,
,2,57
,4,75
,1,49
,3,78
START,,
,3,73
,2,60
,1,54
,4,75
START,,
,3,75
,2,60
,4,82
,1,57
START,,
,3,76
,2,60
,4,78
,1,53
START,,
,3,78
,4,82
,2,60
,1,50
START,,
,3,78
,4,69
,2,62
,1,46
START,,
,1,62
,3,75
,4,73
,2,62
START,,
,1,50
,3,71
,4,76
,2,59
START,,
,2,60
,1,49
,3,72
,4,74
START,,
,4,74
,2,62
,1,50
,3,70
START,,
,3,71
,4,75
,2,60
,1,61
START,,
,3,72
,4,75
,2,61
,1,54
START,,
,3,72
,4,75
,2,62
,1,51
START,,
,3,73
,2,62
,4,72
,1,45
START,,
,3,73
,2,63
,4,73
,1,57
START,,
,3,73
,2,65
,4,75
,1,51
START,,
,4,75
,1,48
,3,77
,2,66
START,,
,4,72
,1,65
,3,77
,2,65
START,,
,2,66
,4,71
,1,53
,3,78
