start,Beacon,data
START,,
,2,66
,1,70
,4,76
,3,75
START,,
,4,76
,3,75
,2,70
,1,75
START,,
,4,76
,3,72
,2,65
,1,75
START,,
,4,77
,3,66
,2,64
,1,72
START,,
,1,78
,4,74
,3,63
,2,70
START,,
,1,74
,4,76
,3,71
,2,56
START,,
,1,69
,4,80
,3,75
,2,55
START,,
,1,67
,4,75
,3,70
,2,64
START,,
,2,65
,1,70
,4,78
,3,69
START,,
,2,62
,1,67
,4,80
,3,78
START,,
,3,69
,2,70
,1,65
,4,80
START,,
,3,63
,2,67
,1,70
,4,81
START,,
,3,62
,2,61
,1,67
,4,76
START,,
,3,75
,2,60
,1,69
,4,72
START,,
,3,70
,2,65
,1,67
,4,80
START,,
,1,66
,4,82
,3,74
,2,63
START,,
,1,65
,4,78
,2,58
,3,71
START,,
,1,67
,3,69
,2,63
START,,
,4,82
,4,255
,1,63
,3,79
,2,64
START,,
,2,65
,1,63
,3,70
,4,75
START,,
,3,71
,2,63
,1,64
,4,75
START,,
,3,76
,2,63
,1,67
,4,81
START,,
,3,75
,2,58
,1,63
,4,75
START,,
,4,78
,3,76
,2,69
,1,69
START,,
,4,77
,3,72
,2,64
,1,65
START,,
,1,67
,4,75
,2,63
,3,71
START,,
,1,67
,4,73
,3,76
,2,67
START,,
,1,66
,4,73
,2,68
,3,79
START,,
,1,66
,4,78
,3,79
,2,73
START,,
,3,72
,2,70
,4,77
,1,64
START,,
,3,77
,1,66
,2,70
,4,77
START,,
,3,64
,2,61
,1,64
,4,76
START,,
,4,81
,3,69
,2,73
,1,65
START,,
,3,66
,2,60
,1,64
,4,80
START,,
,1,67
,4,75
,3,72
,2,64
START,,
,1,64
,4,79
,3,73
,2,64
START,,
,2,72
,1,66
,4,79
,3,74
START,,
,3,69
,2,63
,1,67
,4,73
START,,
,3,65
,2,63
,1,64
,4,71
START,,
,3,79
,2,60
,1,68
,4,70
START,,
,3,63
,2,57
,4,76
,1,66
START,,
,4,79
,3,70
,2,67
,1,67
START,,
,4,79
,3,69
,2,69
,1,65
