start,Beacon,data
START,,
,4,81
,3,77
,2,45
,1,50
START,,
,4,80
,3,79
,2,46
,1,50
START,,
,1,53
,4,82
,3,79
,2,46
START,,
,1,52
,4,80
,3,79
,2,45
START,,
,1,55
,4,79
,3,78
,2,45
START,,
,2,46
,1,54
,4,77
,3,79
START,,
,3,81
,2,45
,1,49
,4,75
START,,
,3,79
,2,45
,1,64
,4,78
START,,
,3,80
,2,42
,1,66
,4,76
START,,
,3,83
,2,44
,1,58
,4,78
START,,
,3,77
,2,45
,1,55
,4,79
START,,
,3,77
,2,46
,4,78
,1,54
START,,
,1,55
,4,78
,3,80
,2,47
START,,
,1,67
,4,76
,3,79
,2,46
START,,
,1,63
,4,76
,2,45
,3,81
START,,
,1,53
,4,78
,3,77
,2,45
START,,
,3,78
,2,44
,1,56
,4,80
START,,
,3,81
,2,45
,1,56
,4,84
START,,
,3,80
,2,45
,1,57
,4,80
START,,
,3,78
,2,45
,1,57
,4,80
START,,
,3,77
,2,45
,1,55
,4,82
START,,
,2,45
,3,81
,1,52
,4,78
START,,
,4,79
,2,46
,1,56
,3,81
START,,
,4,82
,2,45
,3,84
,1,58
START,,
,1,54
,4,80
,2,45
,3,79
START,,
,3,85
,1,62
,4,78
,2,46
START,,
,2,45
,3,84
,1,61
,4,77
START,,
,2,46
,3,81
,1,59
,4,79
START,,
,2,43
,3,81
,4,77
,1,52
START,,
,2,45
,3,80
,1,61
,4,78
START,,
,2,45
,3,79
,1,69
,4,78
START,,
,4,81
,2,45
,3,80
,1,58
START,,
,1,57
,4,79
,2,44
,3,82
START,,
,1,51
,4,78
,2,43
,3,85
START,,
,3,82
,1,51
,4,75
,2,46
START,,
,3,79
,1,55
,4,77
,2,46
START,,
,2,45
,3,82
,1,55
,4,75
START,,
,2,44
,3,82
,1,55
,4,79
START,,
,2,45
,1,58
,4,76
,3,83
START,,
,2,45
,3,82
,1,53
,4,77
START,,
,4,74
,2,48
,3,81
,1,50
START,,
,4,75
,2,45
,3,82
,1,55
START,,
,1,50
,4,77
,2,43
,3,85
START,,
,1,55
,4,78
,2,44
,3,84
START,,
,1,50
,4,77
,2,43
,3,84
START,,
,1,49
,4,79
,2,43
,3,83
START,,
,3,83
,1,52
,2,43
,4,80
START,,
,2,43
,1,51
,4,81
START,,
,2,42
,1,50
,4,81
,3,82
,3,255
START,,
,2,42
,1,56
,4,82
START,,
,4,74
,2,42
,1,55
,3,83
START,,
,4,76
,2,42
,1,51
,3,85
START,,
,1,58
,4,80
,2,43
START,,
,1,53
,4,81
,2,41
START,,
,1,52
,4,79
,2,42
START,,
,3,85
,1,52
,4,81
,2,43
START,,
,1,51
,4,78
,2,42
,3,82
START,,
,2,42
,1,51
,4,81
,3,255
,3,255
START,,
,2,43
,3,78
,1,57
,4,84
START,,
,4,74
,2,45
,3,76
,1,52
START,,
,4,76
,2,49
,3,77
,1,50
START,,
,4,75
,2,50
,3,75
,1,50
START,,
,4,78
,2,48
,3,78
,1,56
START,,
,1,59
,4,75
,2,48
,3,79
START,,
,1,60
,4,76
,2,49
,3,82
