start,Beacon,data
START,,
,2,71
,3,51
,4,63
,1,80
START,,
,3,51
,2,69
,1,81
,4,63
START,,
,1,81
,3,51
,4,62
,2,65
START,,
,3,50
,4,59
,2,70
,1,80
START,,
,3,51
,4,61
,2,63
,1,80
START,,
,3,51
,4,60
,2,64
START,,
,2,69
,3,51
,4,60
,1,82
START,,
,2,65
,3,51
,4,59
,1,83
,1,82
START,,
,2,65
,1,80
,4,60
,3,50
START,,
,4,60
,3,51
,2,68
,1,79
START,,
,4,61
,3,50
,2,67
,1,80
START,,
,4,60
,3,51
,2,67
,1,78
START,,
,1,80
,4,60
,3,51
,2,68
START,,
,1,81
,4,59
,3,51
,2,66
START,,
,1,79
,4,59
,3,51
,2,66
START,,
,2,71
,1,79
,4,58
,3,50
START,,
,2,70
,4,61
,3,51
START,,
,3,63
,2,62
,4,72
,1,83
,1,74
START,,
,3,60
,2,68
,1,73
,4,73
START,,
,4,64
,3,57
,2,69
,1,79
START,,
,4,63
,3,58
,1,84
,2,72
START,,
,4,63
,3,58
,2,78
,1,86
START,,
,4,60
,3,53
,2,69
,1,83
START,,
,1,78
,4,61
,3,53
,2,71
START,,
,1,82
,4,63
,3,53
,2,71
START,,
,2,71
,1,77
,4,63
,3,52
START,,
,3,52
,2,77
,1,76
,4,66
START,,
,3,54
,2,69
,1,79
,4,64
START,,
,4,64
,3,52
,2,67
,1,83
START,,
,4,63
,3,52
,2,71
,1,77
START,,
,1,77
,4,64
,3,52
,2,72
START,,
,1,83
,4,63
,3,52
,2,71
START,,
,4,63
,2,72
,3,56
START,,
,1,84
,1,255
,4,62
,3,55
,2,76
START,,
,2,81
,4,61
,3,55
,1,81
START,,
,3,56
,2,78
,1,81
,4,63
START,,
,3,55
,2,78
,1,79
,4,63
START,,
,3,55
,2,78
,1,79
,4,63
START,,
,3,55
,2,78
,4,62
,1,83
START,,
,4,63
,3,58
,2,72
,1,83
START,,
,4,58
,3,58
,2,67
,1,82
START,,
,4,62
,3,58
,2,70
,1,84
START,,
,1,78
,4,71
,3,59
,2,72
START,,
,1,81
,4,72
,3,60
,2,74
START,,
,2,72
,1,81
,4,72
,3,59
START,,
,2,73
,1,79
,4,75
,3,58
START,,
,3,58
,2,69
,1,77
,4,77
START,,
,3,59
,2,73
,1,79
,4,75
START,,
,3,59
,2,71
,1,78
,4,75
START,,
,4,73
,3,59
,2,69
,1,78
START,,
,4,77
,3,59
,2,69
,1,80
START,,
,1,81
,4,75
,3,58
,2,70
START,,
,1,79
,4,73
,3,59
,2,71
START,,
,2,70
,1,82
,4,73
,3,59
START,,
,3,59
,2,70
,1,80
,4,71
START,,
,3,58
,2,73
,1,79
,4,72
START,,
,3,58
,2,77
,1,78
,4,72
START,,
,3,58
,2,73
,1,76
,4,72
START,,
,3,57
,2,72
,1,76
,4,69
START,,
,4,72
,3,58
,2,66
,1,79
START,,
,1,83
,4,72
,3,58
,2,69
START,,
,1,81
,4,71
,3,59
,2,69
START,,
,2,70
,1,79
,4,72
,3,60
START,,
,3,57
,2,69
,1,84
,4,72
START,,
,3,58
,2,71
,1,76
,4,72
START,,
